lei,name
549300UV5JQXLGVWIP44,Devon Bank
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD."
549300WS8BW0I0BDA390,DIAMOND RESIDENTIAL MORTGAGE CORPORATION
549300JPGMCMBEJEK584,DIGITAL Federal Credit Union
549300QD23LICPXTPB55,"DIGNIFIED HOME LOANS, LLC"
549300XAHXRVSRML8V19,"DIRECT MORTGAGE, CORP."
549300ZBXINP1Y94CN02,"DIRECTORS MORTGAGE, INC."
X05BVSK68TQ7YTOSNR22,Discover Bank
549300MSU5WVAU4ZN645,"Dollar Bank, Federal Savings Bank"
549300C8GOC4OYUV0Z32,"DOMINION FINANCIAL SERVICES, LLC"
5493001R92DY5DI1DI85,DRAPER AND KRAMER MORTGAGE CORP.
549300UXTDELQS5SLF91,DUPACO COMMUNITY
549300H3IZO24NSOO931,"EAGLE HOME MORTGAGE, LLC"
WVM1F03F86RQLLTEVE84,EagleBank
F28JOQ8OBWCFUYM0UX93,East West Bank
549300DDLYW49R2HCV81,EASTMAN
2549004OC91L41W9XR37,Educational Employees Credit Union
549300NZWZUYUWEOA562,Elements Financial Federal Credit Union
213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC."
549300EMNDEK4BA8WB53,EMM LOANS LLC
5493000JFVFQFL816N45,ENCORE BANK
54930013MXTMNAENKY84,ENERGY ONE FEDERAL CREDIT UNION
6GK3WNTSHBNJOVP1LV97,Ent Credit Union
549300J6N77Q8OHYNF23,"ENVOY MORTGAGE, LTD"
549300B8FO8HQHJB6633,"EQUITABLE HOME MORTGAGE, INC."
549300K4ZLGS7SRDTL86,Equity Prime Mortgage LLC
54930072OCHTUJOZQB56,EVANSVILLE TEACHERS
54930053KPO7OG48FP72,EVERENCE FEDERAL CREDIT UNION
549300XWUSRVVOHPRY47,"EVERETT FINANCIAL, INC."
54930060G4MDPWHISD89,EVERGREEN MONEYSOURCE MORTGAGE COMPANY
549300VQ0V62WHMGY629,EVERLEND MORTGAGE COMPANY
549300IRXW9RSZM2B951,Evolve Bank & Trust
549300YRN588YD6VNJ18,F&M Bank
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION
2549009V3JISNNLCD785,FAMILY FIRST FUNDING LLC
549300UBM8OIENB7BQ09,Farmers-Merchants Bank of Illinois
54930073P3QM9MWXOT53,Farmers & Mechanics Bank
549300BMHSUCH6UGU556,Farmers & Stockmens Bank
549300LLESTPOVRG3X73,Farmers Bank & Trust
549300KPHGEE40YQXO21,FARMERS INSURANCE GROUP FEDERAL CREDIT UNION
549300D0H09HSURFXA20,"FAY SERVICING, LLC"
5493005JPZ3LXXMB0S24,"FBC MORTGAGE, LLC"
549300L8JRY60EOROT34,FCB Banks
549300AN5V81GRYDJ823,FEDCHOICE Federal Credit Union
549300OGIGNKGO2DX942,FEDEX EMPLOYEES CREDIT ASSOCIATION
549300TDBTRK89DZRC13,FIBRE FEDERAL CREDIT UNION
254900ALCPGGRYFG8I88,Fidelity Bank
549300LE3ZOZXUS7W648,FIDELITY BANK
549300L9MOPDT0NKE883,"Fidelity Bank, National Association"
QFROUN1UWUYU0DVIWD51,"Fifth Third Bank, National Association"
254900UL88QFG0E40516,Figure Lending LLC
5493001IKIPQ6O5UGV92,FINANCE OF AMERICA COMMERCIAL LLC
549300MXJA09WZJ0DV55,FINANCE OF AMERICA MORTGAGE LLC
549300S5YL3OH0IVCS62,FINANCE OF AMERICA REVERSE LLC
549300X7KG2H84UCP685,"Financial Funding Solutions, Inc."
549300US45HOXL30J494,FINANCIAL RESOURCES FEDERAL CREDIT UNION
5493005JF6BKCN6OY689,FineMark National Bank & Trust
549300ZS1TR1B4LHX377,Firefighters First Federal Credit Union
549300VJNXT4X0NJO497,FIREFLY
L9VVX1KT5TFTKS0MLF66,First-Citizens Bank & Trust Company
XC7Z0BA39TU7L1AKOJ12,First American Bank
549300DT7WZ1SOTNFJ62,First Bank
549300FM2Y64BMWO8016,First Bank
549300LO3MP4RAI32X70,First Bank
549300SELI3XCH3UZW80,FIRST CENTENNIAL MORTGAGE CORPORATION
549300PUSSF737Y6XW86,FIRST CHOICE LOAN SERVICES INC.
5493003V40VGM7YDFM54,FIRST COLONY MORTGAGE CORPORATION
549300L44U62O7WHRR78,FIRST COMMUNITY
549300R0SXC1JU7ZU290,"FIRST COMMUNITY MORTGAGE, INC."
549300C20KZIWPASBC15,"FIRST CONTINENTAL MORTGAGE, LTD."
549300CNRVR02KBUDD48,First Federal Bank
Q708HHR4LD2B7XIZNO92,First Federal Bank
549300W5A6PQ1VJG3497,First Federal Bank of Kansas City
549300XW2H531FLD3I90,First Federal Savings and Loan Association of Port Angeles
MV4O55SH8HO6KQSGW013,First Financial Bank
5493003K18C4JU5UJ328,First Financial Northwest Bank
549300G8SAGXEDF5FK39,First Guaranty Bank
